Experimental Item,SS,SP,SSS,SPS,SSP,SPP,SSA,SPA
,,,The advertisement from the office of the real estate agent,,,,,
,,,The announcement by the director of the foundation,,,,,
,,,The article by the writer for the magazine,,,,,
,,,The author of the speech about the city,,,,,
,,,The computer with the program for the experiment,,,,,
,,,The contract for the actor in the film,,,,,
,,,The discussion about the topic of the paper,,,,,
,,,The dog on the path around the lake,,,,,
,,,The friend of the editor of the magazine,,,,,
,,,The gift for the daughter of the visitor,,,,,
,,,The helicopter for the flight over the canyon,,,,,
,,,,The article about the conferences of the government,,,,
,,,,The letter from the friends of my cousin,,,,
,,,,The manual by the developers of the machine,,,,
,,,,The rope on the docks of the yacht,,,,
,,,,The meal for the guests of the inn-keeper,,,,
,,,,The museum with the pictures of the poet,,,,
,,,,The design for the engines of the plane,,,,
,,,,The payment for the services to the school,,,,
,,,,The photo of the girls with the baby,,,,
,,,,The post of the platforms for the event,,,,
,,,,,The prescription by the doctor from the clinics,,,
,,,,,The producer of the movie about the artists,,,
,,,,,The publisher of the book about the kings,,,
,,,,,The setting for the movie about the astronomers,,,
,,,,,The statue in the garden near the mansions,,,
,,,,,The switch for the light in the halls,,,
,,,,,The telegram to the friend of the soldiers,,,
,,,,,The threat to the president of the companies,,,
,,,,,The tour of the museum near the monuments,,,
,,,,,The train to the city on the lakes,,,
,,,,,,The truck on the bridges over the streams,,
,,,,,,The cat of my neighbours in the trees,,
,,,,,,The bowl with the fruits on the tables,,
,,,,,,The letter from our penpals beside the books,,
,,,,,,The lamp with the tassles over the plants,,
,,,,,,The book about the warriors of the rivers,,
,,,,,,The host of the podcasts for the news stations,,
,,,,,,The lawyer of my uncles for the sisters,,
,,,,,,The shoe under the chairs of the guests,,
,,,,,,The tomato on the vines under the clouds,,
,,,,,,,The dog of the farmer yesterday,
,,,,,,,The shark around the island here,
,,,,,,,The balcony of the hotel there,
,,,,,,,The e-mail by the member today,
,,,,,,,The recipe of the baker there,
,,,,,,,The cookie in the bowl here,
,,,,,,,The book in the library there,
,,,,,,,The toy from the shelf there,
,,,,,,,The tunnel below the basement there,
,,,,,,,The passenger on the train there,
,,,,,,,,The city in the valleys there
,,,,,,,,The map on the desks there
,,,,,,,,The cat with a bells there
,,,,,,,,The start of the races there
,,,,,,,,The conversation about the students there
,,,,,,,,The hospital in the buildings there
,,,,,,,,The spy with the maps there
,,,,,,,,The book about the events there
,,,,,,,,The pillow with the ruffles there
,,,,,,,,The icing on the cakes there
,The stamp in the corner,,,,,,,
,The blender on the counter,,,,,,,
,The tea in the tin,,,,,,,
,The castle with the bridge,,,,,,,
,The blueprint on the table,,,,,,,
,The strategy for the invasion,,,,,,,
,The attitude toward the election,,,,,,,
,The ticket for the trip,,,,,,,
,The message from the fan,,,,,,,
,The meaning of the symbol,,,,,,,
,,The feeling toward the recipients,,,,,,
,,The attitude of the senators,,,,,,
,,The mood of the critics,,,,,,
,,The pattern on the carpets,,,,,,
,,The call of the birds,,,,,,
,,The sound of the jackhammers,,,,,,
,,The sighting of the fires,,,,,,
,,The smell of the sandwiches,,,,,,
,,The cure for the diseases,,,,,,
