Experimental Item,SS,SP,SSS,SPS,SSP,SPP,SSA,SPA
,,,,,,,,The advertisement from the offices here
,,,,,,,,The announcement by the directors today
,,,,,,,,The article by the writers yesterday
,,,,,,,,The author of the speeches yesterday
,,,,,,,,The computer with the programs here
,,,,,,,,The contract for the actors there
,,,,,,,,The discussion about the topics today
,,,,,,,,The dog on the paths here
,,,,,,,,The friend of the editors yesterday
,,,,,,,,The gift for the daughters there
,,,,,,,,The helicopter for the flights today
,The article about the conference,,,,,,,
,The letter from the friend,,,,,,,
,The manual by the developer,,,,,,,
,The rope on the dock,,,,,,,
,The meal for the guest,,,,,,,
,The museum with the picture,,,,,,,
,The design for the engine,,,,,,,
,The payment for the service,,,,,,,
,The photo of the girl,,,,,,,
,The post of the platform,,,,,,,
,,The prescription by the doctors,,,,,,
,,The producer of the movies,,,,,,
,,The publisher of the books,,,,,,
,,The setting for the movies,,,,,,
,,The statue in the gardens,,,,,,
,,The switch for the lights,,,,,,
,,The telegram to the friends,,,,,,
,,The threat to the presidents,,,,,,
,,The tour of the museums,,,,,,
,,The train to the cities,,,,,,
,,,The truck on the bridge over the stream,,,,,
,,,The cat of my neighbour in the tree,,,,,
,,,The bowl with the fruit on the table,,,,,
,,,The letter from our penpal beside the book,,,,,
,,,The lamp with the tassle over the plant,,,,,
,,,The book about the warrior of the river,,,,,
,,,The host of the podcast for the news station,,,,,
,,,The lawyer of my uncle for the sister,,,,,
,,,The shoe under the chair of the guest,,,,,
,,,The tomato on the vine under the cloud,,,,,
,,,,The dog of the farmers in the field,,,,
,,,,The shark around the islands with the monkey,,,,
,,,,The balcony of the hotels over the car,,,,
,,,,The e-mail by the members to the executive,,,,
,,,,The recipe of the bakers with the fruit,,,,
,,,,The cookie in the bowls for the grandkid,,,,
,,,,The book in the libraries about the tea,,,,
,,,,The toy from the shelves beside the poster,,,,
,,,,The tunnel below the basements of the tower,,,,
,,,,The passenger on the trains through the country,,,,
,,,,,The city in the valley with the flowers,,,
,,,,,The map on the desk under the lights,,,
,,,,,The cat with a bell on the collars,,,
,,,,,The start of the race over the mountains,,,
,,,,,The conversation about the student in hallways,,,
,,,,,The hospital in the building near the gardens,,,
,,,,,The spy with the map to the events,,,
,,,,,The book about the event in the cities,,,
,,,,,The pillow with the ruffle on the couches,,,
,,,,,The icing on the cake with the candles,,,
,,,,,,The stamp in the corners of the passports,,
,,,,,,The blender on the counters near the outlets,,
,,,,,,The tea in the tins with the flowers,,
,,,,,,The castle with the bridges over the rivers,,
,,,,,,The blueprint on the tables by the plants,,
,,,,,,The strategy for the invasions of the countries,,
,,,,,,The attitude toward the elections for the presidents,,
,,,,,,The ticket for the trips through the cities,,
,,,,,,The message from the fans of the writers,,
,,,,,,The meaning of the symbols on the flags,,
,,,,,,,The feeling toward the recipient there,
,,,,,,,The attitude of the senator there,
,,,,,,,The mood of the critic there,
,,,,,,,The pattern on the carpet there,
,,,,,,,The call of the bird there,
,,,,,,,The sound of the jackhammer there,
,,,,,,,The sighting of the fires there,
,,,,,,,The smell of the sandwich here,
,,,,,,,The cure for the disease there,
